museum_id,day,open,close,open_time,close_time,duration,rank
34,Sunday,11:00:AM,06:00:PM,11:00:00,18:00:00,07:00:00,182
34,Wednesday,11:00:AM,06:00:PM,11:00:00,18:00:00,07:00:00,182
34,Thursday,11:00:AM,06:00:PM,11:00:00,18:00:00,07:00:00,182
35,Tuesday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
35,Wednesday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
35,Thursday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
39,Sunday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
39,Monday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
39,Thursday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
39,Saturday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
41,Sunday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
41,Monday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
41,Tuesday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
41,Wednesday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
41,Thursday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
41,Friday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
41,Saturday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
42,Sunday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
42,Monday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
42,Wednesday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
42,Thursday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
42,Friday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
42,Saturday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
44,Sunday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
44,Monday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
44,Wednesday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
44,Thursday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
44,Saturday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
46,Sunday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
46,Monday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
46,Wednesday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
46,Thursday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
46,Friday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
46,Saturday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
53,Sunday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
53,Tuesday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
53,Wednesday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
53,Thursday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
53,Friday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
53,Saturday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
54,Friday,11:00:AM,06:00:PM,11:00:00,18:00:00,07:00:00,182
54,Saturday,11:00:AM,06:00:PM,11:00:00,18:00:00,07:00:00,182
58,Sunday,11:00:AM,06:00:PM,11:00:00,18:00:00,07:00:00,182
58,Tuesday,11:00:AM,06:00:PM,11:00:00,18:00:00,07:00:00,182
58,Wednesday,11:00:AM,06:00:PM,11:00:00,18:00:00,07:00:00,182
58,Thursday,11:00:AM,06:00:PM,11:00:00,18:00:00,07:00:00,182
58,Friday,11:00:AM,06:00:PM,11:00:00,18:00:00,07:00:00,182
58,Saturday,11:00:AM,06:00:PM,11:00:00,18:00:00,07:00:00,182
60,Monday,11:00:AM,06:00:PM,11:00:00,18:00:00,07:00:00,182
60,Tuesday,11:00:AM,06:00:PM,11:00:00,18:00:00,07:00:00,182
60,Thursday,11:00:AM,06:00:PM,11:00:00,18:00:00,07:00:00,182
61,Sunday,11:00:AM,06:00:PM,11:00:00,18:00:00,07:00:00,182
61,Monday,11:00:AM,06:00:PM,11:00:00,18:00:00,07:00:00,182
61,Tuesday,11:00:AM,06:00:PM,11:00:00,18:00:00,07:00:00,182
61,Wednesday,11:00:AM,06:00:PM,11:00:00,18:00:00,07:00:00,182
61,Thursday,11:00:AM,06:00:PM,11:00:00,18:00:00,07:00:00,182
61,Friday,11:00:AM,06:00:PM,11:00:00,18:00:00,07:00:00,182
67,Sunday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
67,Monday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
67,Thursday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
67,Saturday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
72,Saturday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
73,Sunday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
73,Wednesday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
73,Thusday,01:00:PM,"08 :00:PM",13:00:00,20:00:00,07:00:00,182
73,Friday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
73,Saturday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
74,Sunday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
74,Tuesday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
74,Wednesday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
74,Thusday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
74,Friday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
74,Saturday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
75,Sunday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
75,Tuesday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
75,Wednesday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
75,Thusday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
75,Friday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
75,Saturday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
76,Sunday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
76,Tuesday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
76,Wednesday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
76,Friday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
76,Saturday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
77,Tuesday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
77,Wednesday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
77,Friday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
78,Sunday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
78,Tuesday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
78,Wednesday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
78,Thusday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
78,Friday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
78,Saturday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
79,Sunday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
79,Thusday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
79,Friday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
79,Saturday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
81,Sunday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
81,Wednesday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
81,Thusday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
81,Friday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
81,Saturday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
83,Tuesday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
83,Wednesday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
83,Thusday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
83,Friday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
